,Player,Points,Assists
0,LeBron James,41871.0,11487.0
1,Kareem Abdul-Jabbar*,38387.0,5660.0
2,Karl Malone*,36928.0,5248.0
3,Kobe Bryant*,33643.0,6306.0
4,Michael Jordan*,32292.0,5633.0
5,Dirk Nowitzki*,31560.0,3651.0
6,Wilt Chamberlain*,31419.0,4643.0
7,Kevin Durant,30240.0,4853.0
8,Julius Erving*,30026.0,5176.0
9,Moses Malone*,29580.0,---
10,Shaquille O'Neal*,28596.0,3026.0
11,Carmelo Anthony,28289.0,3422.0
12,Dan Issel*,27482.0,---
13,Elvin Hayes*,27313.0,---
14,James Harden,27136.0,8129.0
15,Hakeem Olajuwon*,26946.0,3058.0
16,Oscar Robertson*,26710.0,9887.0
17,Dominique Wilkins*,26668.0,---
18,George Gervin*,26595.0,---
19,Tim Duncan*,26496.0,4225.0
20,Paul Pierce*,26397.0,4708.0
21,John Havlicek*,26395.0,6114.0
22,Kevin Garnett*,26071.0,5445.0
23,Russell Westbrook,25896.0,9801.0
24,Vince Carter*,25728.0,4714.0
25,Alex English*,25613.0,4351.0
26,Rick Barry*,25279.0,4952.0
27,Reggie Miller*,25279.0,4141.0
28,Jerry West*,25192.0,6238.0
29,Stephen Curry,24945.0,6452.0
30,Artis Gilmore*,24941.0,3050.0
31,Patrick Ewing*,24815.0,---
32,DeMar DeRozan,24789.0,4741.0
33,Ray Allen*,24505.0,4361.0
34,Allen Iverson*,24368.0,5624.0
35,Charles Barkley*,23757.0,4215.0
36,Robert Parish*,23334.0,---
37,Adrian Dantley*,23177.0,---
38,Dwyane Wade*,23165.0,5701.0
39,Elgin Baylor*,23149.0,3650.0
40,Chris Paul,22826.0,12370.0
41,Damian Lillard,22419.0,6021.0
42,Clyde Drexler*,22195.0,6125.0
43,Gary Payton*,21813.0,8966.0
44,Larry Bird*,21791.0,5695.0
45,Hal Greer*,21586.0,4540.0
46,Walt Bellamy*,20941.0,---
47,Pau Gasol*,20894.0,3925.0
48,Bob Pettit*,20880.0,---
49,David Robinson*,20790.0,---
50,LaMarcus Aldridge,20558.0,---
51,Mitch Richmond*,20497.0,3398.0
52,Joe Johnson,20407.0,5001.0
53,Tom Chambers,20049.0,---
54,Antawn Jamison,20042.0,---
55,Giannis Antetokounmpo,19978.0,4142.0
56,John Stockton*,19711.0,15806.0
57,Bernard King*,19655.0,---
58,Clifford Robinson,19591.0,3094.0
59,Walter Davis*,19521.0,3878.0
60,Dwight Howard,19485.0,---
61,Tony Parker*,19473.0,7036.0
62,Terry Cummings,19460.0,---
63,Jamal Crawford,19419.0,4541.0
64,Bob Lanier*,19248.0,3007.0
65,Eddie Johnson,19202.0,3436.0
